t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
0.0000,3.00250,3.00000,0.00625,3.00142,3.00000,0.00651,3.00142,3.00000,0.00672,2.509000e-03,2.500001e-03,3.477961e-04,0.02850,0.13017,0.00803,1,2.96589
0.0500,3.00750,3.00003,0.01875,3.00740,3.00004,0.02060,3.00740,3.00002,0.01817,2.518000e-03,2.500017e-03,3.083987e-04,0.11950,0.28191,-0.00066,1,2.96013
0.1000,3.01500,3.00017,0.03750,3.01535,3.00020,0.04493,3.01535,3.00014,0.04063,2.526997e-03,2.500067e-03,2.776978e-04,0.15900,0.48654,0.02575,1,2.97628
0.1500,3.02499,3.00055,0.06250,3.02594,3.00068,0.07144,3.02594,3.00058,0.06757,2.535982e-03,2.500184e-03,2.531707e-04,0.21200,0.53026,0.07133,1,2.95880
0.2000,3.03747,3.00133,0.09375,3.03831,3.00156,0.10031,3.03831,3.00140,0.09601,2.544941e-03,2.500389e-03,2.331835e-04,0.24800,0.57741,0.09185,1,2.97732
0.2500,3.05240,3.00273,0.12345,3.05139,3.00288,0.13107,3.05140,3.00265,0.12656,2.553860e-03,2.500688e-03,2.166310e-04,0.26300,0.61508,0.12443,1,2.98691
0.3000,3.06977,3.00489,0.15078,3.06894,3.00519,0.15808,3.06896,3.00491,0.15393,2.562719e-03,2.501196e-03,2.027388e-04,0.35400,0.54021,0.15799,1,2.96316
0.3500,3.08954,3.00789,0.17593,3.08834,3.00829,0.18640,3.08838,3.00790,0.18198,2.571515e-03,2.501891e-03,1.909483e-04,0.39300,0.56637,0.17875,1,2.97521
0.4000,3.11169,3.01183,0.19909,3.11070,3.01250,0.20688,3.11076,3.01194,0.20170,2.580233e-03,2.502843e-03,1.808460e-04,0.45500,0.40961,0.19191,1,2.95378
0.4500,3.13620,3.01677,0.22040,3.13681,3.01798,0.22891,3.13691,3.01718,0.22297,2.588896e-03,2.504102e-03,1.721197e-04,0.53350,0.44071,0.21267,1,2.99521
0.5000,3.16303,3.02279,0.24002,3.16386,3.02429,0.24581,3.16400,3.02328,0.23953,2.597492e-03,2.505590e-03,1.645290e-04,0.55550,0.33786,0.23481,1,2.98650
0.5500,3.19217,3.02992,0.25808,3.19388,3.03182,0.26274,3.19408,3.03058,0.25623,2.606038e-03,2.507404e-03,1.578857e-04,0.61900,0.33869,0.25264,1,2.96190
0.6000,3.22360,3.03821,0.27471,3.22623,3.04052,0.27861,3.22647,3.03911,0.27232,2.614536e-03,2.509544e-03,1.520404e-04,0.67000,0.31743,0.27581,1,3.01249
