t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
0.0000,3.00250,3.00000,0.00625,2.99817,3.00000,0.00694,2.99817,3.00000,0.00728,2.556250e-03,2.500001e-03,4.076739e-04,-0.03650,0.13885,0.01515,4,2.75873
0.0500,3.00750,3.00003,0.01875,3.00705,3.00006,0.02542,3.00705,3.00003,0.02144,2.612497e-03,2.500023e-03,4.147296e-04,0.17750,0.36957,-0.07829,7,2.81781
0.1000,3.01500,3.00017,0.03750,3.01640,3.00030,0.06686,3.01640,3.00018,0.05933,2.668721e-03,2.500133e-03,4.212078e-04,0.18700,0.82870,-0.02124,8,2.72937
0.1500,3.02499,3.00055,0.06250,3.02877,3.00113,0.09742,3.02878,3.00094,0.09061,2.724774e-03,2.500541e-03,4.271482e-04,0.24800,0.61128,0.10665,7,2.72506
0.2000,3.03747,3.00133,0.09375,3.04079,3.00230,0.11887,3.04080,3.00198,0.11086,2.780564e-03,2.501305e-03,4.325887e-04,0.24150,0.42906,0.08426,8,2.65523
0.2500,3.05240,3.00273,0.12700,3.04833,3.00320,0.15624,3.04836,3.00280,0.14752,2.836128e-03,2.502219e-03,4.375662e-04,0.15200,0.74742,0.13192,7,2.90752
0.3000,3.06976,3.00495,0.15761,3.06634,3.00604,0.18520,3.06638,3.00552,0.17723,2.891171e-03,2.504161e-03,4.421154e-04,0.36450,0.57907,0.19366,7,2.79241
0.3500,3.08951,3.00809,0.18577,3.08462,3.00946,0.22579,3.08470,3.00874,0.21702,2.945691e-03,2.506861e-03,4.462695e-04,0.37200,0.81183,0.19985,6,2.73794
0.4000,3.11163,3.01224,0.21170,3.10750,3.01472,0.24109,3.10765,3.01357,0.22978,2.999376e-03,2.510976e-03,4.500596e-04,0.46950,0.30603,0.17580,5,2.68074
0.4500,3.13607,3.01750,0.23556,3.13821,3.02227,0.26847,3.13850,3.02047,0.25442,3.052803e-03,2.516493e-03,4.535149e-04,0.63250,0.54753,0.19693,10,2.78361
0.5000,3.16281,3.02391,0.25752,3.16581,3.02986,0.27913,3.16624,3.02747,0.26355,3.105621e-03,2.522851e-03,4.566629e-04,0.57250,0.21331,0.23145,7,2.83944
0.5500,3.19182,3.03155,0.27774,3.19832,3.03918,0.29431,3.19894,3.03607,0.27743,3.158262e-03,2.530580e-03,4.595291e-04,0.67650,0.30346,0.25052,6,2.68774
0.6000,3.22307,3.04047,0.29635,3.23323,3.04976,0.30916,3.23400,3.04614,0.29273,3.210592e-03,2.539689e-03,4.621372e-04,0.72950,0.29713,0.30184,6,2.81075
0.6500,3.25655,3.05069,0.31349,3.26550,3.06007,0.32052,3.26630,3.05650,0.30695,3.262507e-03,2.549386e-03,4.645092e-04,0.67750,0.22714,0.36571,5,2.91153
0.7000,3.29222,3.06225,0.32927,3.30144,3.07200,0.33789,3.30248,3.06762,0.32289,3.314108e-03,2.560778e-03,4.666655e-04,0.75750,0.34732,0.29388,5,2.86952
