t,true_x,true_y,true_theta,dr_x,dr_y,dr_theta,ekf_x,ekf_y,ekf_theta,ekf_var_x,ekf_var_y,ekf_var_theta,enc_v,enc_omega,imu_yaw,n_lidar_clusters,min_obstacle_range
0.0000,3.00250,3.00000,0.00625,3.00142,3.00000,0.00651,3.00142,3.00000,0.00672,2.509000e-03,2.500001e-03,3.477961e-04,0.02850,0.13017,0.00803,2,2.96589
0.0500,3.00750,3.00003,0.01875,3.00740,3.00004,0.02060,3.00740,3.00002,0.01817,2.518000e-03,2.500017e-03,3.083987e-04,0.11950,0.28191,-0.00066,1,2.96013
0.1000,3.01500,3.00017,0.03750,3.01535,3.00020,0.04493,3.01535,3.00014,0.04063,2.526997e-03,2.500067e-03,2.776978e-04,0.15900,0.48654,0.02575,2,2.97628
0.1500,3.02499,3.00055,0.06250,3.02594,3.00068,0.07144,3.02594,3.00058,0.06757,2.535982e-03,2.500184e-03,2.531707e-04,0.21200,0.53026,0.07133,2,2.95880
0.2000,3.03747,3.00133,0.09375,3.03831,3.00156,0.10031,3.03831,3.00140,0.09601,2.544941e-03,2.500389e-03,2.331835e-04,0.24800,0.57741,0.09185,2,2.97732
0.2500,3.05240,3.00273,0.12700,3.05139,3.00288,0.13467,3.05140,3.00265,0.13016,2.553860e-03,2.500688e-03,2.166310e-04,0.26300,0.68708,0.12799,2,2.98640
0.3000,3.06976,3.00495,0.15761,3.06890,3.00525,0.16498,3.06893,3.00497,0.16082,2.562711e-03,2.501203e-03,2.027388e-04,0.35350,0.60621,0.16482,2,2.96277
0.3500,3.08951,3.00809,0.18577,3.08829,3.00848,0.19630,3.08832,3.00809,0.19187,2.571488e-03,2.501917e-03,1.909483e-04,0.39300,0.62637,0.18859,2,2.97871
0.4000,3.11163,3.01224,0.21170,3.11060,3.01292,0.21958,3.11067,3.01235,0.21438,2.580175e-03,2.502899e-03,1.808460e-04,0.45500,0.46561,0.20452,2,2.95144
0.4500,3.13607,3.01750,0.23556,3.13661,3.01872,0.24411,3.13672,3.01792,0.23815,2.588794e-03,2.504200e-03,1.721197e-04,0.53300,0.49071,0.22783,2,2.99201
0.5000,3.16281,3.02391,0.25752,3.16359,3.02544,0.26331,3.16374,3.02443,0.25702,2.597333e-03,2.505744e-03,1.645290e-04,0.55600,0.38386,0.25231,2,2.98980
0.5500,3.19182,3.03155,0.27774,3.19349,3.03350,0.28234,3.19371,3.03226,0.27581,2.605812e-03,2.507625e-03,1.578857e-04,0.61950,0.38069,0.27230,2,2.96278
0.6000,3.22307,3.04047,0.29635,3.22567,3.04284,0.30021,3.22593,3.04143,0.29391,2.614231e-03,2.509842e-03,1.520404e-04,0.67000,0.35743,0.29745,2,3.02243
0.6500,3.25655,3.05069,0.31349,3.25884,3.05311,0.31588,3.25913,3.05169,0.31043,2.622588e-03,2.512331e-03,1.468732e-04,0.69450,0.31343,0.32393,3,3.02434
0.7000,3.29222,3.06225,0.32927,3.29458,3.06479,0.33182,3.29494,3.06311,0.32612,2.630899e-03,2.515205e-03,1.422863e-04,0.75200,0.31866,0.32219,3,3.06042
0.7500,3.33007,3.07519,0.34380,3.33162,3.07755,0.34548,3.33210,3.07546,0.33909,2.639165e-03,2.518389e-03,1.381996e-04,0.78350,0.27324,0.32718,3,3.05717
0.8000,3.37008,3.08951,0.35718,3.37243,3.09224,0.35606,3.37305,3.08972,0.34914,2.647420e-03,2.522090e-03,1.345466e-04,0.86750,0.21172,0.33975,2,3.09358
0.8500,3.41224,3.10524,0.36949,3.41461,3.10792,0.36981,3.41526,3.10540,0.36372,2.655668e-03,2.526122e-03,1.312717e-04,0.90000,0.27496,0.37872,2,3.05270
0.9000,3.45654,3.12240,0.38084,3.45834,3.12488,0.38032,3.45897,3.12253,0.37538,2.663893e-03,2.530536e-03,1.283281e-04,0.93800,0.21010,0.39675,2,3.07695
0.9500,3.50296,3.14098,0.39129,3.50346,3.14292,0.38581,3.50407,3.14073,0.38179,2.672113e-03,2.535310e-03,1.256759e-04,0.97200,0.10992,0.39900,2,3.11194
1.0000,3.55149,3.16101,0.40091,3.55134,3.16236,0.39226,3.55173,3.16097,0.39043,2.680375e-03,2.540569e-03,1.232812e-04,1.03350,0.12895,0.43265,2,3.10427
1.0500,3.60213,3.18247,0.40977,3.60200,3.18332,0.40745,3.60244,3.18180,0.40554,2.688679e-03,2.546361e-03,1.211150e-04,1.09650,0.30368,0.40420,2,3.14834
1.1000,3.65414,3.20506,0.41794,3.65346,3.20553,0.41692,3.65384,3.20424,0.41564,2.696979e-03,2.552523e-03,1.191519e-04,1.12100,0.18951,0.42815,2,3.20531
1.1500,3.70600,3.22809,0.42546,3.70412,3.22797,0.42689,3.70443,3.22689,0.42613,2.705270e-03,2.558807e-03,1.173702e-04,1.10800,0.19933,0.43667,3,3.19157
1.2000,3.75772,3.25153,0.43239,3.75641,3.25175,0.43097,3.75675,3.25062,0.43017,2.713597e-03,2.565520e-03,1.157507e-04,1.14900,0.08173,0.42932,2,3.21951
1.2500,3.80931,3.27534,0.43877,3.80872,3.27580,0.43748,3.80897,3.27492,0.43716,2.721956e-03,2.572403e-03,1.142768e-04,1.15150,0.13018,0.44710,2,3.23964
